Авторы,Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Спонсоры,Издатель,Название конференции,Дата конференции,Место проведения конференции,Код конференции,ISSN,ISBN,CODEN,Язык оригинального документа,Сокращенное название источника,Тип документа,Источник,EID
"Pascual-Leone J., Pascual-Leone A., Arsalidou M.","Neuropsychology still needs to model organismic processes ""from within""",2015,"Behavioral and Brain Sciences","38","1", e83,"","",,2,10.1017/S0140525X14000983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930849684&doi=10.1017%2fS0140525X14000983&partnerID=40&md5=d8399cd0ae48e016ab156f906c8265cf","Department of Psychology, York University, Toronto, ON, Canada; Department of Psychology, University of Windsor, Windsor, ON, Canada; Department of Psychology, National Research University Higher School of Economics, Moscow, Russian Federation","Pascual-Leone, J., Department of Psychology, York University, Toronto, ON, Canada; Pascual-Leone, A., Department of Psychology, University of Windsor, Windsor, ON, Canada; Arsalidou, M., Department of Psychology, York University, Toronto, ON, Canada, Department of Psychology, National Research University Higher School of Economics, Moscow, Russian Federation","Four issues are discussed: (1) differences between cognition and emotion; (2) affect, emotion, and motivation differentials, including a neuropsychological model of motivation; (3) mental attention (working memory) as a resource neither affective nor cognitive, but applicable to both; and (4) explication of neuropsychological scheme units, which have neuronal circuits as functional infrastructure, thus helping to clarify the semantics of functional connectivity. Copyright © Cambridge University Press 2015.",,"affect; cingulate gyrus; cognition; conceptual framework; ego development; emotion; fusiform gyrus; human; motivation; nerve cell plasticity; neuropsychology; Note; occipital gyrus; problem solving; semantics; superior temporal sulcus; visual cortex; working memory; anterior cingulate; anterior insula; executive function; hypothalamus; neuroscience; orbital cortex; periaqueductal gray matter; posterior cingulate; Review; attention; short term memory; Attention; Cognition; Humans; Memory, Short-Term; Neuropsychology; Semantics",,"Cambridge University Press",,,,,0140525X,,BBSCD,"English","Behav. Brain Sci.",Note,Scopus,2-s2.0-84930849684
"Muslimov A.E., Butashin A.V., Mikhailov V.I., Shapiev I.M., Ismailov A.M., Novoselova E.G., Smirnov I.S., Kanevsky V.M.","Study of the structure of crystalline tellurium on different substrates",2015,"Crystallography Reports","60","4",,"561","564",,,10.1134/S106377451504015X,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938879456&doi=10.1134%2fS106377451504015X&partnerID=40&md5=a8fd1c4427322319275c9325710d52a0","Shubnikov Institute of Crystallography, Russian Academy of Sciences, Moscow, Russian Federation; Dagestan State University, Makhachkala, Russian Federation; National Research University Higher School of Economics, Moscow, Russian Federation","Muslimov, A.E., Shubnikov Institute of Crystallography, Russian Academy of Sciences, Moscow, Russian Federation; Butashin, A.V., Shubnikov Institute of Crystallography, Russian Academy of Sciences, Moscow, Russian Federation; Mikhailov, V.I., Shubnikov Institute of Crystallography, Russian Academy of Sciences, Moscow, Russian Federation; Shapiev, I.M., Dagestan State University, Makhachkala, Russian Federation; Ismailov, A.M., Dagestan State University, Makhachkala, Russian Federation; Novoselova, E.G., National Research University Higher School of Economics, Moscow, Russian Federation; Smirnov, I.S., National Research University Higher School of Economics, Moscow, Russian Federation; Kanevsky, V.M., Shubnikov Institute of Crystallography, Russian Academy of Sciences, Moscow, Russian Federation","The epitaxial growth of tellurium films by chemical vapor deposition is investigated. It is established that, under thermochemical activation conditions, tellurium films grow from vapor phase in the (10 $$\bar 1$$0) plane, parallel to the (001) muscovite substrate and the (0001) sapphire substrate. It is demonstrated that tellurium films on (001) muscovite substrates are more homogeneous and can be detached from the substrate, which makes them interesting for carrying out experiments on epitaxy of CdTe films. Tellurium films on sapphire are more heterogeneous and mosaic; however, their growth is accompanied by the formation of hexagonal tellurium microtubes with a high aspect ratio: a diameter of ~1–10 μm and a length of ~1–10 mm. © 2015, Pleiades Publishing, Inc.",,"Aspect ratio; Cadmium telluride; Chemical vapor deposition; Epitaxial growth; Mica; Sapphire; Tellurium; Tellurium compounds; CdTe; Different substrates; High aspect ratio; Micro-tubes; Muscovite substrates; Sapphire substrates; Thermochemical activation; Vapor Phase; Substrates",,"Maik Nauka-Interperiodica Publishing",,,,,10637745,,,"English","Crystallogr. Rep.",Article,Scopus,2-s2.0-84938879456
"Savchenko A.V., Savchenko L.V.","Towards the creation of reliable voice control system based on a fuzzy approach",2015,"Pattern Recognition Letters","65",, 6282,"145","151",,3,10.1016/j.patrec.2015.07.013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939811595&doi=10.1016%2fj.patrec.2015.07.013&partnerID=40&md5=9e1786f1506f669d751911bd61d4d4ae","National Research University, Higher School of Economics, Laboratory of Algorithms and Technologies for Network Analysis, 136 Rodionova St., Nizhny Novgorod, Russian Federation; Nizhny Novgorod State Linguistic University, 31a Minina Ulitsa, Nizhny Novgorod, Russian Federation","Savchenko, A.V., National Research University, Higher School of Economics, Laboratory of Algorithms and Technologies for Network Analysis, 136 Rodionova St., Nizhny Novgorod, Russian Federation; Savchenko, L.V., Nizhny Novgorod State Linguistic University, 31a Minina Ulitsa, Nizhny Novgorod, Russian Federation","The key purpose of this paper is to train a voice control system if a small amount of user speech data is available without need for general acoustic model if the latter does not fit to the user voice due to known variability sources (childhood, voice diseases, non-nativeness, etc.). We explore the possibility to increase the recognition rate by requiring the speaker to put the stress on all vowels in a command. We propose the novel modification of our fuzzy phonetic decoding method, in which each vowel is put in correspondence with a fuzzy union of sets of available reference signals from this class. A first, syllables are detected and phoneme segmentation is performed. Secondly, the command is extracted from spontaneous speech by thresholding the ratio of the duration of homogeneous segments to the duration of the whole syllable. Finally, each syllable is put in correspondence with the fuzzy set of vowels, and commands are ordered based on similarity with the fuzzy set of the utterance. The experimental results in synthetic and real Russian datasets prove that our method is characterized by better accuracy in comparison with known recognition methods. © 2015 Elsevier B.V.","Fuzzy phonetic decoding; Isolated words recognition; Kullback-Leibler divergence; Signal processing; Voice control","Control systems; Decoding; Disease control; Fuzzy sets; Linguistics; Signal processing; Decoding methods; Isolated words; Kullback Leibler divergence; Recognition methods; Reference signals; Spontaneous speech; Voice control; Voice control systems; Speech recognition",,"Elsevier",,,,,01678655,,,"English","Pattern Recogn. Lett.",Article,Scopus,2-s2.0-84939811595
"Bezhaeva Z.I., Oseledets V.I.","Remarks on quantum Markov states",2015,"Functional Analysis and its Applications","49","3",,"205","209",,,10.1007/s10688-015-0105-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942092784&doi=10.1007%2fs10688-015-0105-0&partnerID=40&md5=538d7b0466bba4482c43b1e70478e333","National Research University Higher School of Economics, Moscow, Russian Federation; Financial University, Lomonosov Moscow State University, Moscow, Russian Federation","Bezhaeva, Z.I., National Research University Higher School of Economics, Moscow, Russian Federation; Oseledets, V.I., Financial University, Lomonosov Moscow State University, Moscow, Russian Federation","The definition of a quantum Markov state was given by Accardi in 1975. For the classical case, this definition gives hidden Markov measures, which, generally speaking, are not Markov measures. We can use a nonnegative transfer matrix to define a Markov measure. We use a positive semidefinite transfer matrix and select a class of quantum Markov states (in the sense of Accardi) on the inductive limit of the C*-algebras M<inf>dn</inf>. An entangled quantum Markov state in the sense of Accardi and Fidaleo is a quantum Markov state in our sense. For the case where the transfer matrix has rank 1, we calculate the eigenvalues and the eigenvectors of the density matrices determining the quantum Markov state. The sequence of von Neumann entropies of the density matrices of this state is bounded. © 2015, Springer Science+Business Media New York.","C*-algebra; density matrix; quantum Markov state; state on C*-algebra; von Neumann entropy",,,"Springer New York LLC",,,,,00162663,,,"English","Funct. Anal. Appl.",Article,Scopus,2-s2.0-84942092784
"Krichever I.M.","Commuting difference operators and the combinatorial Gale transform",2015,"Functional Analysis and its Applications","49","3",,"175","188",,2,10.1007/s10688-015-0102-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942101397&doi=10.1007%2fs10688-015-0102-3&partnerID=40&md5=7e378dece83c02d2e04d1b68edd9f057","Department of Mathematics, Columbia University, New York, United States; Laboratory of Representation Theory and Mathematical Physics, National Research University Higher School of Economics, New York, United States; Institute for Information Transmission Problems, Russian Academy of Sciences, St. Petersburg, Russian Federation; Landau Institute for Theoretical Physics, Russian Academy of Sciences, St. Petersburg, Russian Federation","Krichever, I.M., Department of Mathematics, Columbia University, New York, United States, Laboratory of Representation Theory and Mathematical Physics, National Research University Higher School of Economics, New York, United States, Institute for Information Transmission Problems, Russian Academy of Sciences, St. Petersburg, Russian Federation, Landau Institute for Theoretical Physics, Russian Academy of Sciences, St. Petersburg, Russian Federation","We develop the spectral theory of n-periodic strictly triangular difference operators L = T-k-1 + ∑<inf>j=1</inf> k a<inf>i</inf> jT−j and the spectral theory of the “superperiodic” operators for which all solutions of the equation (L + 1)ψ = 0 are (anti)periodic. We show that, for a superperiodic operator L of order k+1, there exists a unique superperiodic operator L of order n-k-1 which commutes with L and show that the duality L ↔ L coincides, up to a certain involution, with the combinatorial Gale transform recently introduced in [21]. © 2015, Springer Science+Business Media New York.","commuting difference operators; frieze patterns; Gale transform; moduli spaces of n-gons; spectral theory of linear difference operators",,,"Springer New York LLC",,,,,00162663,,,"English","Funct. Anal. Appl.",Article,Scopus,2-s2.0-84942101397
"Elie R., Lépinette E.","Approximate hedging for nonlinear transaction costs on the volume of traded assets",2015,"Finance and Stochastics","19","3",,"541","581",,,10.1007/s00780-015-0262-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937793778&doi=10.1007%2fs00780-015-0262-2&partnerID=40&md5=fc9de271f339ffe615f8099500407781","LAMA, Université Paris-Est Marne-la-Vallée, 5 boulevard Descartes, Champs sur Marne, France; Ceremade, Université Paris Dauphine, Place du Maréchal De Lattre De Tassigny, Paris cedex 16, France; International Laboratory of Quantitative Finance, National Research University Higher School of Economics, Moscow, Russian Federation","Elie, R., LAMA, Université Paris-Est Marne-la-Vallée, 5 boulevard Descartes, Champs sur Marne, France; Lépinette, E., Ceremade, Université Paris Dauphine, Place du Maréchal De Lattre De Tassigny, Paris cedex 16, France, International Laboratory of Quantitative Finance, National Research University Higher School of Economics, Moscow, Russian Federation","This paper is dedicated to the replication of a convex contingent claim h(S<inf>1</inf>) in a financial market with frictions, due to deterministic order books or regulatory constraints. The corresponding transaction costs can be rewritten as a nonlinear function G of the volume of traded assets, with G′(0)>0. For a stock with Black–Scholes midprice dynamics, we exhibit an asymptotically convergent replicating portfolio, defined on a regular time grid with n trading dates. Up to a well-chosen regularization hn of the payoff function, we first introduce the frictionless replicating portfolio of $h^{n}(S^{n}_{1})$, where Sn is a fictitious stock with enlarged local volatility dynamics. In the market with frictions, a suitable modification of this portfolio strategy provides a terminal wealth that converges in $\mathbb{L}^{2}$ to the claim h(S<inf>1</inf>) as n goes to infinity. In terms of order book shapes, the exhibited replicating strategy only depends on the size 2G′(0) of the bid–ask spread. The main innovation of the paper is the introduction of a “Leland-type” strategy for nonvanishing (nonlinear) transaction costs on the volume of traded shares, instead of the commonly considered traded amount of money. This induces lots of technicalities, which we overcome by using an innovative approach based on the Malliavin calculus representation of the Greeks. © 2015, Springer-Verlag Berlin Heidelberg.","Delta hedging; Leland–Lott strategy; Malliavin calculus; Order book; Transaction costs",,,"Springer Verlag",,,,,09492984,,,"English","Financ. Stoch.",Article,Scopus,2-s2.0-84937793778
"Belomestny D., Joshi M., Schoenmakers J.","Addendum to: Multilevel dual approach for pricing American style derivatives",2015,"Finance and Stochastics","19","3",,"681","684",,1,10.1007/s00780-015-0267-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937814472&doi=10.1007%2fs00780-015-0267-x&partnerID=40&md5=de8f7379b196bce8cef4d1456d6798ee","Duisburg-Essen University, Thea-Leymann-Str. 9, Essen, Germany; Higher School of Economics, National Research University, Moscow, Russian Federation; Centre for Actuarial Studies, Department of Economics, University of Melbourne, VIC, Australia; Weierstrass Institute for Applied Analysis and Stochastics, Mohrenstr. 39, Berlin, Germany","Belomestny, D., Duisburg-Essen University, Thea-Leymann-Str. 9, Essen, Germany, Higher School of Economics, National Research University, Moscow, Russian Federation; Joshi, M., Centre for Actuarial Studies, Department of Economics, University of Melbourne, VIC, Australia; Schoenmakers, J., Weierstrass Institute for Applied Analysis and Stochastics, Mohrenstr. 39, Berlin, Germany","In this note, we show how the dual approach in its particular form presented in Andersen and Broadie (Manag. Sci. 50:1222–1234, 2004) can be fitted into the framework of the recent work (Belomestny et al., Finance Stoch. 17:717–742, 2013). © 2015, Springer-Verlag Berlin Heidelberg.","Dual approach; Multilevel Monte Carlo; Optimal stopping",,,"Springer Verlag",,,,,09492984,,,"English","Financ. Stoch.",Article,Scopus,2-s2.0-84937814472
"Palamarchuk E.S.","Stabilization of linear stochastic systems with a discount: Modeling and estimation of the long-term effects from the application of optimal control strategies",2015,"Mathematical Models and Computer Simulations","7","4",,"381","388",,2,10.1134/S2070048215040080,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937809280&doi=10.1134%2fS2070048215040080&partnerID=40&md5=e5e68a61a94684121a6dbf929f7ed76e","Central Economic-Mathematical Institute, Russian Academy of Sciences, National Research University Higher School of Economics, Moscow, Russian Federation","Palamarchuk, E.S., Central Economic-Mathematical Institute, Russian Academy of Sciences, National Research University Higher School of Economics, Moscow, Russian Federation","The paper is devoted to the problem of stabilizing a linear stochastic control system. The quadratic cost functional measures the total loss caused by deviation from the fixed (target) levels and control trajectories, as well as a decision-maker’s time preferences expressed in the discount function. The long-term impacts of the use of decision-making, optimal on average, over an infinite-time horizon are taken as estimates of the deviation of the optimal trajectory from its target in the mean square sense and with the probability of 1. © 2015, Pleiades Publishing, Ltd.","discounting function; infinite-time horizon of planning; quadratic functional; stabilization of linear systems; time preferences",,,"Pleiades Publishing",,,,,20700482,,,"English","Math. Models Comput. Simul.",Article,Scopus,2-s2.0-84937809280
"Levin A.M., Olshanetsky M.A., Zotov A.V.","Quantum Baxter-Belavin R-matrices and multidimensional lax pairs for Painlevé VI",2015,"Theoretical and Mathematical Physics(Russian Federation)","184","1",,"924","939",,6,10.1007/s11232-015-0306-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940205116&doi=10.1007%2fs11232-015-0306-y&partnerID=40&md5=6fbfa12c4306c6b51054a52fa9bd4526","Department of Mathematics, National Research, University Higher School of Economics, Moscow, Russian Federation; Institute for Theoretical and Experimental Physics, Moscow, Russian Federation; Moscow Institute of Physics and Technology, Dolgoprudny, Moscow Oblast, Russian Federation; Steklov Mathematical Institute of RAS, Moscow, Russian Federation","Levin, A.M., Department of Mathematics, National Research, University Higher School of Economics, Moscow, Russian Federation, Institute for Theoretical and Experimental Physics, Moscow, Russian Federation; Olshanetsky, M.A., Institute for Theoretical and Experimental Physics, Moscow, Russian Federation, Moscow Institute of Physics and Technology, Dolgoprudny, Moscow Oblast, Russian Federation; Zotov, A.V., Steklov Mathematical Institute of RAS, Moscow, Russian Federation","Quantum elliptic R-matrices satisfy the associative Yang-Baxter equation in Mat(N)⊗2, which can be regarded as a noncommutative analogue of the Fay identity for the scalar Kronecker function. We present a broader list of R-matrix-valued identities for elliptic functions. In particular, we propose an analogue of the Fay identities in Mat(N)⊗2. As an application, we use the ℤ<inf>N</inf>×ℤ<inf>N</inf> elliptic R-matrix to construct R-matrix-valued 2N2×2N2 Lax pairs for the Painlevé VI equation (in the elliptic form) with four free constants. More precisely, the case with four free constants corresponds to odd N, and even N corresponds to the case with a single constant in the equation. © 2015, Pleiades Publishing, Ltd.","multidimensional Lax pair; Painlevé equation; quantum R-matrix",,,"Maik Nauka Publishing / Springer SBM",,,,,00405779,,,"English","Theor. Math. Phys.",Article,Scopus,2-s2.0-84940205116
"Sorokina A.N., Chervonenkis A.Y.","An improved optimization algorithm of ads’ allocation in sponsored search and the results of experiments",2015,"Automation and Remote Control","76","7",,"1315","1325",,,10.1134/S0005117915070164,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937597889&doi=10.1134%2fS0005117915070164&partnerID=40&md5=c11d63a9a216a5c4717bd26b507edaa8","Higher School of Economics (National Research University), Moscow, Russian Federation; Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation","Sorokina, A.N., Higher School of Economics (National Research University), Moscow, Russian Federation; Chervonenkis, A.Y., Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation","This paper describes a modified version of an algorithm suggested earlier by the authors for optimizing of ads allocation in sponsored search on the main page of search results in response to user search queries to a web search engine. It is demonstrated that the modification of the algorithm reduces appreciably the searching procedure and the algorithm complexity. And finally, the new algorithm undergoes experimental testing on real data sets provided by Yandex. © 2015, Pleiades Publishing, Ltd.",,"Computational complexity; Optimization; Search engines; World Wide Web; Algorithm complexity; Experimental testing; Optimization algorithms; Real data sets; Search queries; Sponsored searches; Algorithms",,"Maik Nauka Publishing / Springer SBM",,,,,00051179,,,"English","Autom. Remote Control",Article,Scopus,2-s2.0-84937597889
"Avdeev R.","Strongly solvable spherical subgroups and their combinatorial invariants",2015,"Selecta Mathematica, New Series","21","3",,"931","993",,,10.1007/s00029-015-0180-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937253597&doi=10.1007%2fs00029-015-0180-3&partnerID=40&md5=8ca6438cc3a1287e0a2ec6ac4424f801","National Research University Higher School of Economics, Moscow, Russian Federation","Avdeev, R., National Research University Higher School of Economics, Moscow, Russian Federation","A subgroup H of an algebraic group G is said to be strongly solvable if H is contained in a Borel subgroup of G. This paper is devoted to establishing relationships between the following three combinatorial classifications of strongly solvable spherical subgroups in reductive complex algebraic groups: Luna’s general classification of arbitrary spherical subgroups restricted to the strongly solvable case, Luna’s 1993 classification of strongly solvable wonderful subgroups, and the author’s 2011 classification of strongly solvable spherical subgroups. We give a detailed presentation of all the three classifications and exhibit interrelations between the corresponding combinatorial invariants, which enables one to pass from one of these classifications to any other. © 2015, Springer Basel.","Algebraic group; Homogeneous space; Representation; Solvable subgroup; Spherical subgroup; Spherical variety; Wonderful variety",,,"Birkhauser Verlag AG",,,,,10221824,,,"English","Selecta Math. New Ser.",Article,Scopus,2-s2.0-84937253597
"Lipman M., Petrov N.","Introduction. The Post-Crimea Russia: Development Scenarios",2015,"The State of Russia: What Comes Next?",,,,"1","5",,,10.1057/9781137548115_1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968718481&doi=10.1057%2f9781137548115_1&partnerID=40&md5=5aec6706751bd2d3119deb5c19dd9bd9","Moscow, Russian Federation; Laboratory for Regional Development Assessment Methods, Higher School of Economics, Russian Federation","Lipman, M., Moscow, Russian Federation; Petrov, N., Laboratory for Regional Development Assessment Methods, Higher School of Economics, Russian Federation",[краткое описание не найдено],,,,"Palgrave Macmillan",,,,,,9781137548115; 9781349578207,,"English","The State of Russ.: What Comes Next?",Editorial,Scopus,2-s2.0-84968718481
"Lipman M., Petrov N.","Conclusions",2015,"The State of Russia: What Comes Next?",,,,"137","153",,,10.1057/9781137548115_8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968754887&doi=10.1057%2f9781137548115_8&partnerID=40&md5=67375bd6558d3d2b84201f776f55a7b9","Moscow, Russian Federation; Laboratory for Regional Development Assessment Methods, Higher School of Economics, Russian Federation","Lipman, M., Moscow, Russian Federation; Petrov, N., Laboratory for Regional Development Assessment Methods, Higher School of Economics, Russian Federation",[краткое описание не найдено],,,,"Palgrave Macmillan",,,,,,9781137548115; 9781349578207,,"English","The State of Russ.: What Comes Next?",Book Chapter,Scopus,2-s2.0-84968754887
"Makarenko B.","Post-Crimean political Order",2015,"The State of Russia: What Comes Next?",,,,"6","27",,,10.1057/9781137548115_2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968813613&doi=10.1057%2f9781137548115_2&partnerID=40&md5=eb48af44657230708bd82a092c8bfb74","Center for Political Technologies, Russian Federation; Higher School of Economics, Russian Federation","Makarenko, B., Center for Political Technologies, Russian Federation, Higher School of Economics, Russian Federation","The anti-modernization trend will become the main feature of the country's political regime for the immediate future - this trend dooms the regime to stagnation, making any attempts at technocratic renewal futile. In order to keep the situation under control, the regime will inevitably resort to greater, most likely pre-emptive, and therefore disproportionate, repressions, which will further exacerbate political conflict. The main question that will determine the predictions of the political regime's future is how stable it will be under the new conditions and what hypothetical solutions for overcoming stagnation it will have at its disposal. © Maria Lipman and Nikolay Petrov 2015.",,,,"Palgrave Macmillan",,,,,,9781137548115; 9781349578207,,"English","The State of Russ.: What Comes Next?",Book Chapter,Scopus,2-s2.0-84968813613
"San Segundo P., Nikolaev A., Batsyn M.","Infra-chromatic bound for exact maximum clique search",2015,"Computers and Operations Research","64",,,"293","303",,10,10.1016/j.cor.2015.06.009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937554255&doi=10.1016%2fj.cor.2015.06.009&partnerID=40&md5=1d68073ea8162cc5a1c3b699c4ce8880","Centro de Automática y Robótica (CAR), UPM-CSIC, C/ Jose Gutiérrez Abascal, 2, Madrid, Spain; Laboratory of Algorithms and Technologies for Networks Analysis, National Research University Higher School of Economics, 136 Rodionova Street, Niznhy Novgorod, Russian Federation","San Segundo, P., Centro de Automática y Robótica (CAR), UPM-CSIC, C/ Jose Gutiérrez Abascal, 2, Madrid, Spain; Nikolaev, A., Laboratory of Algorithms and Technologies for Networks Analysis, National Research University Higher School of Economics, 136 Rodionova Street, Niznhy Novgorod, Russian Federation; Batsyn, M., Laboratory of Algorithms and Technologies for Networks Analysis, National Research University Higher School of Economics, 136 Rodionova Street, Niznhy Novgorod, Russian Federation","Many efficient exact branch and bound maximum clique solvers use approximate coloring to compute an upper bound on the clique number for every subproblem. This technique reasonably promises tight bounds on average, but never tighter than the chromatic number of the graph. Li and Quan, 2010, AAAI Conference, p. 128-133 describe a way to compute even tighter bounds by reducing each colored subproblem to maximum satisfiability problem (MaxSAT). Moreover they show empirically that the new bounds obtained may be lower than the chromatic number. Based on this idea this paper shows an efficient way to compute related ""infra-chromatic"" upper bounds without an explicit MaxSAT encoding. The reported results show some of the best times for a stand-alone computer over a number of instances from standard benchmarks. © 2015 Elsevier Ltd. All rights reserved.","Approximate coloring; Branch-and-bound; Combinatorial optimization; MaxSAT","Branch and bound method; Operations research; Chromatic number; Clique number; Max-SAT; Maximum clique; Maximum satisfiability problems; Stand -alone; Tight bound; Upper Bound; Combinatorial optimization",,"Elsevier Ltd",,,,,03050548,,CMORA,"English","Comp. Oper. Res.",Article,Scopus,2-s2.0-84937554255
"Loubenets E.R.","Context-Invariant and Local Quasi Hidden Variable (qHV) Modelling Versus Contextual and Nonlocal HV Modelling",2015,"Foundations of Physics","45","7",,"840","850",,3,10.1007/s10701-015-9903-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931007529&doi=10.1007%2fs10701-015-9903-8&partnerID=40&md5=dee570da03d391864aed2855729da27e","Moscow State Institute of Electronics and Mathematics, Moscow, Russian Federation","Loubenets, E.R., Moscow State Institute of Electronics and Mathematics, Moscow, Russian Federation","For the probabilistic description of all the joint von Neumann measurements on a D-dimensional quantum system, we present the specific example of a context-invariant quasi hidden variable (qHV) model, proved in Loubenets (J Math Phys 56:032201, 2015) to exist for each Hilbert space. In this model, a quantum observable X is represented by a variety of random variables satisfying the functional condition required in quantum foundations but, in contrast to a contextual model, each of these random variables equivalently models X under all joint von Neumann measurements, regardless of their contexts. This, in particular, implies the specific local qHV (LqHV) model for an N-qudit state and allows us to derive the new exact upper bound on the maximal violation of 2$$\times \cdots \times $$×⋯×2-setting Bell-type inequalities of any type (either on correlation functions or on joint probabilities) under N-partite joint von Neumann measurements on an N-qudit state. For d = 2, this new upper bound coincides with the maximal violation by an N-qubit state of the Mermin–Klyshko inequality. Based on our results, we discuss the conceptual and mathematical advantages of context-invariant and local qHV modelling. © 2015, Springer Science+Business Media New York.","Bell-type inequalities; Contextuality; Nonclassicality; qHV modelling; Quantum nonlocality",,,"Kluwer Academic Publishers",,,,,00159018,,,"English","Found. Phys.",Article,Scopus,2-s2.0-84931007529
"Gurevich D., Rubtsov V., Saponov P., Škoda Z.","Generalizations of Poisson Structures Related to Rational Gaudin Model",2015,"Annales Henri Poincare","16","7",,"1689","1707",,,10.1007/s00023-014-0350-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931282022&doi=10.1007%2fs00023-014-0350-4&partnerID=40&md5=81db1b585d5fd4f486389a6ff244048d","LAMAV, Université de Valenciennes, Valenciennes, France; UNAM, LAREMA UMR 6093 du CNRS, Université d’Angers, Angers, Cedex 01, France; ITEP, Theory Division, 25, Bol.Tcheremushkinskaya, Moscow, Russian Federation; National Research University Higher School of Economics, International Laboratory of Representation Theory and Mathematical Physics, 20 Myasnitskaya Ulitsa, Moscow, Russian Federation; Institute for High Energy Physics, Protvino, Moscow, Russian Federation; Division of Theoretical Physics, Rudjer Bošković Institute, P.O. Box 180, Zagreb, Croatia","Gurevich, D., LAMAV, Université de Valenciennes, Valenciennes, France; Rubtsov, V., UNAM, LAREMA UMR 6093 du CNRS, Université d’Angers, Angers, Cedex 01, France, ITEP, Theory Division, 25, Bol.Tcheremushkinskaya, Moscow, Russian Federation; Saponov, P., National Research University Higher School of Economics, International Laboratory of Representation Theory and Mathematical Physics, 20 Myasnitskaya Ulitsa, Moscow, Russian Federation, Institute for High Energy Physics, Protvino, Moscow, Russian Federation; Škoda, Z., Division of Theoretical Physics, Rudjer Bošković Institute, P.O. Box 180, Zagreb, Croatia","The Poisson structure arising in the Hamiltonian approach to the rational Gaudin model looks very similar to the so-called modified Reflection Equation Algebra. Motivated by this analogy, we realize a braiding of the mentioned Poisson structure, i.e. we introduce a “braided Poisson” algebra associated with an involutive solution to the quantum Yang–Baxter equation. Also, we exhibit another generalization of the Gaudin type Poisson structure by replacing the first derivative in the current parameter, entering the so-called local form of this structure, by a higher order derivative. Finally, we introduce a structure, which combines both generalizations. Some commutative families in the corresponding braided Poisson algebra are found. © 2014, Springer Basel.",,,,"Birkhauser Verlag AG",,,,,14240637,,,"English","Ann. Henri Poincare",Article,Scopus,2-s2.0-84931282022
