Авторы,Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Спонсоры,Издатель,Название конференции,Дата конференции,Место проведения конференции,Код конференции,ISSN,ISBN,CODEN,Язык оригинального документа,Сокращенное название источника,Тип документа,Источник,EID
"Kutoyants Y.A.","On asymptotic distribution of parameter free tests for ergodic diffusion processes",2014,"Statistical Inference for Stochastic Processes","17","2",,"139","161",,2,10.1007/s11203-014-9097-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896690421&doi=10.1007%2fs11203-014-9097-2&partnerID=40&md5=b605cbe2f2bad2ba38bd000bcb072dd9","Laboratoire de Statistique et Processus, Université du Maine, Le Mans Cédex 9, France; Laboratory of Quantitive Finance, Higher School of Economics, National Research University, Moscow, Russian Federation","Kutoyants, Y.A., Laboratoire de Statistique et Processus, Université du Maine, Le Mans Cédex 9, France, Laboratory of Quantitive Finance, Higher School of Economics, National Research University, Moscow, Russian Federation","We consider two problems of constructing of goodness of fit tests for ergodic diffusion processes. The first one is concerned with a composite basic hypothesis for a parametric class of diffusion processes, which includes the Ornstein–Uhlenbeck and simple switching processes. In this case we propose asymptotically parameter free tests of Cramér-von Mises type. The basic hypothesis in the second problem is simple and we propose asymptotically distribution free tests for a wider class of trend coefficients. © 2014, Springer Science+Business Media Dordrecht.","Asymptotically distribution free; Cramér-von Mises tests; Ergodic diffusion process; Goodness of fit test",,,"Kluwer Academic Publishers",,,,,13870874,,SISPF,"English","Stat. Inference Stochastic Processes",Article,Scopus,2-s2.0-84896690421
"Abankina T.V.","The Life Plans of Rural School Students in Russia, China, and Kazakhstan",2014,"Russian Education and Society","56","7",,"58","69",,,10.2753/RES1060-9393560704,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938690566&doi=10.2753%2fRES1060-9393560704&partnerID=40&md5=deb7fd33af50bded47bdd61349ff8ff6","Center for Applied Economic Research and Development, Russian Federation; Higher School of Economics National University, Russian Federation","Abankina, T.V., Center for Applied Economic Research and Development, Russian Federation, Higher School of Economics National University, Russian Federation","Data from a comparative study of the educational, career, and migration strategies of rural school students in Russia, China, and Kazakhstan show high levels of educational aspiration. This is likely to increase the flow of population to urban areas, to increase the rate of urbanization, and to have demographic and economic consequences that will affect the way these countries develop in the future. © 2014 Copyright Taylor & Francis Group, LLC.",,,,"Routledge",,,,,10609393,,,"English","Russ. Educ. Soc.",Article,Scopus,2-s2.0-84938690566
"Maletz J., Zabolotnyy V.B., Evtushinsky D.V., Thirupathaiah S., Wolter A.U.B., Harnagea L., Yaresko A.N., Vasiliev A.N., Chareev D.A., Böhmer A.E., Hardy F., Wolf T., Meingast C., Rienks E.D.L., Büchner B., Borisenko S.V.","Unusual band renormalization in the simplest iron-based superconductor FeSe1-x",2014,"Physical Review B - Condensed Matter and Materials Physics","89","22", 220506,"","",,82,10.1103/PhysRevB.89.220506,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903551271&doi=10.1103%2fPhysRevB.89.220506&partnerID=40&md5=377b526ce885d11d22f7218e77003e39","Institute for Solid State Research, IFW Dresden, P.O. Box 270116, D-01171 Dresden, Germany; Max Planck Institute for Solid State Research, Heisenbergstrasse 1, D-70569 Stuttgart, Germany; Low Temperature Physics and Superconductivity Department, Physics Faculty, Moscow State University, Moscow 119991, Russian Federation; Theoretical Physics and Applied Mathematics Department, Institute of Physics and Technology, Ural Federal University, 620002 Ekaterinburg, Russian Federation; National Research University, Higher School of Economics, 20 Myasnitskaya Ulitsa, Moscow 101000, Russian Federation; Institute of Experimental Mineralogy, Russian Academy of Sciences, Chernogolovka, Moscow Region 142432, Russian Federation; Institute für Festkörperphysik, Karlsruhe Institute für Technologie, 76021 Karlsruhe, Germany; Helmholtz-Zentrum Berlin, Albert-Einstein-Strasse 15, 12489 Berlin, Germany; Institut für Festkörperphysik, Technische Universität Dresden, D-01171 Dresden, Germany","Maletz, J., Institute for Solid State Research, IFW Dresden, P.O. Box 270116, D-01171 Dresden, Germany; Zabolotnyy, V.B., Institute for Solid State Research, IFW Dresden, P.O. Box 270116, D-01171 Dresden, Germany; Evtushinsky, D.V., Institute for Solid State Research, IFW Dresden, P.O. Box 270116, D-01171 Dresden, Germany; Thirupathaiah, S., Institute for Solid State Research, IFW Dresden, P.O. Box 270116, D-01171 Dresden, Germany; Wolter, A.U.B., Institute for Solid State Research, IFW Dresden, P.O. Box 270116, D-01171 Dresden, Germany; Harnagea, L., Institute for Solid State Research, IFW Dresden, P.O. Box 270116, D-01171 Dresden, Germany; Yaresko, A.N., Max Planck Institute for Solid State Research, Heisenbergstrasse 1, D-70569 Stuttgart, Germany; Vasiliev, A.N., Low Temperature Physics and Superconductivity Department, Physics Faculty, Moscow State University, Moscow 119991, Russian Federation, Theoretical Physics and Applied Mathematics Department, Institute of Physics and Technology, Ural Federal University, 620002 Ekaterinburg, Russian Federation; Chareev, D.A., National Research University, Higher School of Economics, 20 Myasnitskaya Ulitsa, Moscow 101000, Russian Federation, Institute of Experimental Mineralogy, Russian Academy of Sciences, Chernogolovka, Moscow Region 142432, Russian Federation; Böhmer, A.E., Institute für Festkörperphysik, Karlsruhe Institute für Technologie, 76021 Karlsruhe, Germany; Hardy, F., Institute für Festkörperphysik, Karlsruhe Institute für Technologie, 76021 Karlsruhe, Germany; Wolf, T., Institute für Festkörperphysik, Karlsruhe Institute für Technologie, 76021 Karlsruhe, Germany; Meingast, C., Institute für Festkörperphysik, Karlsruhe Institute für Technologie, 76021 Karlsruhe, Germany; Rienks, E.D.L., Helmholtz-Zentrum Berlin, Albert-Einstein-Strasse 15, 12489 Berlin, Germany; Büchner, B., Institute for Solid State Research, IFW Dresden, P.O. Box 270116, D-01171 Dresden, Germany, Institut für Festkörperphysik, Technische Universität Dresden, D-01171 Dresden, Germany; Borisenko, S.V., Institute for Solid State Research, IFW Dresden, P.O. Box 270116, D-01171 Dresden, Germany","The electronic structure of the iron chalcogenide superconductor FeSe1-x was investigated by high-resolution angle-resolved photoemission spectroscopy (ARPES). The results were compared to DFT calculations showing some significant differences between the experimental electronic structure of FeSe1-x, DFT calculations, and existing data on FeSexTe1-x. The bands undergo a pronounced orbital-dependent renormalization, different from what was observed for FeSexTe1-x and any other pnictides. © 2014 American Physical Society.",,,,"American Physical Society",,,,,10980121,,PRBMD,"English","Phys. Rev. B Condens. Matter Mater. Phys.",Article,Scopus,2-s2.0-84903551271
"Pirkovskii A.","Homological dimensions of modules of holomorphic functions on submanifolds of Stein manifolds",2014,"Journal of Functional Analysis","266","12",,"6663","6683",,,10.1016/j.jfa.2014.03.020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899954184&doi=10.1016%2fj.jfa.2014.03.020&partnerID=40&md5=bb5076588f68676d2876d82cc2b07c02","Faculty of Mathematics, National Research University Higher School of Economics, Vavilova 7, 117312 Moscow, Russian Federation","Pirkovskii, A., Faculty of Mathematics, National Research University Higher School of Economics, Vavilova 7, 117312 Moscow, Russian Federation","Let X be a Stein manifold, and let Y⊂. X be a closed complex submanifold. Denote by O(X) the algebra of holomorphic functions on X. We show that the weak (i.e., flat) homological dimension of O(Y) as a Fréchet O(X)-module equals the codimension of Y in X. In the case where X and Y are of Liouville type, the same formula is proved for the projective homological dimension of O(Y) over O(X). On the other hand, we show that if X is of Liouville type and Y is hyperconvex, then the projective homological dimension of O(Y) over O(X) equals the dimension of X. © 2014 Elsevier Inc.","Fréchet algebra; Fréchet module; Homological dimension; Stein manifold",,,"Academic Press Inc.",,,,,00221236,,JFUAA,"English","J. Funct. Anal.",Article,Scopus,2-s2.0-84899954184
"Rybkin A., Pelinovsky E., Didenkulova I.","Nonlinear wave run-up in bays of arbitrary cross-section: Generalization of the Carrier-Greenspan approach",2014,"Journal of Fluid Mechanics","748",,,"416","432",,19,10.1017/jfm.2014.197,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84915787493&doi=10.1017%2fjfm.2014.197&partnerID=40&md5=53ffe2083de663d49204d2466ee525e4","Department of Mathematics and Statistics, University of Alaska Fairbanks, Fairbanks, AK, United States; Department of Nonlinear Geophysical Processes, Institute of Applied Physics, Uljanov Street 46, Nizhny Novgorod, Russian Federation; Institute for Analysis, J. Kepler University, Altenbergerstr. 69, Linz, Austria; National Research University, Higher School of Economics, Gr. Pechersky Street 25/12, Nizhny Novgorod, Russian Federation; Nizhny Novgorod State Technical University n.a. R. E. Alekseev, Minin Street 24, Nizhny Novgorod, Russian Federation; Institute of Cybernetics at Tallinn University of Technology, Akadeemia tee 21, Tallinn, Estonia; MARUM - Center for Marine Environmental Sciences, University of Bremen, Leobener Str., Bremen, Germany","Rybkin, A., Department of Mathematics and Statistics, University of Alaska Fairbanks, Fairbanks, AK, United States; Pelinovsky, E., Department of Nonlinear Geophysical Processes, Institute of Applied Physics, Uljanov Street 46, Nizhny Novgorod, Russian Federation, Institute for Analysis, J. Kepler University, Altenbergerstr. 69, Linz, Austria, National Research University, Higher School of Economics, Gr. Pechersky Street 25/12, Nizhny Novgorod, Russian Federation, Nizhny Novgorod State Technical University n.a. R. E. Alekseev, Minin Street 24, Nizhny Novgorod, Russian Federation; Didenkulova, I., Nizhny Novgorod State Technical University n.a. R. E. Alekseev, Minin Street 24, Nizhny Novgorod, Russian Federation, Institute of Cybernetics at Tallinn University of Technology, Akadeemia tee 21, Tallinn, Estonia, MARUM - Center for Marine Environmental Sciences, University of Bremen, Leobener Str., Bremen, Germany","We present an exact analytical solution of the nonlinear shallow water theory for wave run-up in inclined channels of arbitrary cross-section, which generalizes previous studies on wave run-up for a plane beach and channels of parabolic cross-section. The solution is found using a hodograph-type transform, which extends the well-known Carrier-Greenspan transform for wave run-up on a plane beach. As a result, the nonlinear shallow water equations are reduced to a single one-dimensional linear wave equation for an auxiliary function and all physical variables can be expressed in terms of this function by purely algebraic formulas. In the special case of a U-shaped channel this equation coincides with a spherically symmetric wave equation in space, whose dimension is defined by the channel cross-section and can be fractional. As an example, the run-up of a sinusoidal wave on a beach is considered for channels of several different cross-sections and the influence of the cross-section on wave run-up characteristics is studied. © 2014 Cambridge University Press.","coastal engineering; solitary waves; surface gravity waves","Beaches; Coastal engineering; Equations of motion; Gravity waves; Solitons; Wave equations; Arbitrary cross section; Auxiliary functions; Channel cross section; Exact analytical solutions; Non-linear shallow water equations; Nonlinear shallow water; One-dimensional linear wave equations; Surface gravity waves; Nonlinear equations; coastal engineering; gravity wave; nonlinear wave; solitary wave; wave equation; wave runup",,"Cambridge University Press",,,,,00221120,,JFLSA,"English","J. Fluid Mech.",Article,Scopus,2-s2.0-84915787493
"Karminsky A.M., Kostrov A.","The probability of default in Russian banking",2014,"Eurasian Economic Review","4","1",,"81","98",,4,10.1007/s40822-014-0005-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902281886&doi=10.1007%2fs40822-014-0005-2&partnerID=40&md5=efa214c12a1bcc10c82c670a571e8335","International Laboratory of Quantitative Finance, Higher School of Economics, Moscow, Russian Federation","Karminsky, A.M., International Laboratory of Quantitative Finance, Higher School of Economics, Moscow, Russian Federation; Kostrov, A., International Laboratory of Quantitative Finance, Higher School of Economics, Moscow, Russian Federation","We compare several models for estimating the default probabilities of Russian banks using national statistics from 1998 to 2011, and find that a binary logit regression with a quasi-panel data structure works best. The results indicate that there is a quadratic U-shaped relationship between a bank’s capital adequacy ratio and its probability of default. In addition, macroeconomic, institutional, and time factors significantly improve model accuracy. These results are useful for national financial regulatory authorities, as well as for risk-managers in commercial banks. © 2014, Eurasia Business and Economics Society.","Banks; Default classification; Probability of default; Risk-management",,,"Springer International Publishing",,,,,1309422X,,,"English","Eurasian Econ. Rev.",Article,Scopus,2-s2.0-84902281886
"Gromov E.M., Malomed B.A.","Damped solitons in an extended nonlinear schrödinger equation with a spatial stimulated raman scattering and decreasing dispersion",2014,"Optics Communications","320",,,"88","93",,9,10.1016/j.optcom.2014.01.050,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893726566&doi=10.1016%2fj.optcom.2014.01.050&partnerID=40&md5=2634aee9c1b6e679a47c5a96213b3338","National Research University Higher School of Economics, 25/12 Bolshaja Pecherskaja Ulitsa, Nizhny Novgorod 603155, Russian Federation; Department of Physical Electronics, Department of Engineering, Tel Aviv University, Tel Aviv 69978, Israel","Gromov, E.M., National Research University Higher School of Economics, 25/12 Bolshaja Pecherskaja Ulitsa, Nizhny Novgorod 603155, Russian Federation; Malomed, B.A., Department of Physical Electronics, Department of Engineering, Tel Aviv University, Tel Aviv 69978, Israel","Dynamics of solitons is considered in the framework of an extended nonlinear Schrödinger equation (NLSE), which is derived from a system of the Zakharov © 2014ElsevierB.V.Allrightsreserved.","Damped soliton solution; Damping low-frequency waves; Extended nonlinear Schrödinger equation; Inhomogeneity; Linear loss high-frequency waves; Stimulated scattering","Dinger equation; High frequency waves; Inhomogeneities; Low-frequency waves; Soliton solutions; Stimulated scattering; Solitons; Nonlinear equations",,,,,,,00304018,,OPCOB,"English","Opt Commun",Article,Scopus,2-s2.0-84893726566
"Bogataya S.I., Bogatyy S.A.","Series of commutants of the jennings group J(Z2)",2014,"Topology and its Applications","169",,,"136","147",,,10.1016/j.topol.2014.02.038,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899926073&doi=10.1016%2fj.topol.2014.02.038&partnerID=40&md5=da2d772b1eb5d15c83a4fc1671e79c82","National Research University, Higher School of Economics, Moscow, Russian Federation; Lomonosov MSU, Moscow, Russian Federation","Bogataya, S.I., National Research University, Higher School of Economics, Moscow, Russian Federation; Bogatyy, S.A., Lomonosov MSU, Moscow, Russian Federation","We find the high commutants of the Jennings group J(Z2) of substitutions of formal power series with coefficients in the ring Z2. We explicitly provide the corresponding abelianizing homomorphisms. © 2014 Elsevier B.V.","Commutant; Compact group; Substitution of formal power series",,,"Elsevier",,,,,01668641,,TIAPD,"English","Topol. Appl.",Article,Scopus,2-s2.0-84899926073
"Lukinskiy V., Lukinskiy V., Churilov R.","Problems of the supply chain reliability evaluation",2014,"Transport and Telecommunication","15","2",,"120","129",,8,10.2478/ttj-2014-0011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899898023&doi=10.2478%2fttj-2014-0011&partnerID=40&md5=355404020c01cdd00d06b482b81a1890","National Research University, Higher School of Economics, Russian Federation; Saint-Petersburg University, Graduate School of Management, Russian Federation; Saint-Petersburg State University of Economics, Russian Federation","Lukinskiy, V., National Research University, Higher School of Economics, Russian Federation; Lukinskiy, V., Saint-Petersburg University, Graduate School of Management, Russian Federation; Churilov, R., Saint-Petersburg State University of Economics, Russian Federation","Reliability is one of the most important characteristics of the functioning of supply chains. The carried out analysis have shown that, despite some progress, a number of questions remain open, in particular, the terminology, the selection of key indicators and methods of their calculation as well as there is no economic evaluation of redundant and restorable supply chains. The paper presents a formed conceptual apparatus of logistics systems' reliability theory, the discrete-continuous model of the simple supply chain's functioning as well as it contains the proposal to assess the reliability not only with the help of faultlessness but as well by using the leading function of costs associated with the maintenance of supply chains' operability. © 2014 Transport and Telecommunication Institute.","methods of analysis; models of failures; reliability; supply chains; terminology",,,"Transport and Telecommunication Institute",,,,,14076160,,,"English","Transp. Telecommun.",Article,Scopus,2-s2.0-84899898023
"Dobewall H., Aavik T., Konstabel K., Schwartz S.H., Realo A.","A comparison of self-other agreement in personal values versus the Big Five personality traits",2014,"Journal of Research in Personality","50","1",,"1","10",,10,10.1016/j.jrp.2014.01.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894343975&doi=10.1016%2fj.jrp.2014.01.004&partnerID=40&md5=aa8a3e273c5f794a09863a70580db941","University of Tartu, Estonia; National Institute for Health Development and University of Tartu, Estonia; The Hebrew University of Jerusalem, Israel and National Research University, Higher School of Economics, Russian Federation","Dobewall, H., University of Tartu, Estonia; Aavik, T., University of Tartu, Estonia; Konstabel, K., National Institute for Health Development and University of Tartu, Estonia; Schwartz, S.H., The Hebrew University of Jerusalem, Israel and National Research University, Higher School of Economics, Russian Federation; Realo, A., University of Tartu, Estonia","Can we judge other people's values accurately, or are values too subjective to assess? We compared self-other agreement in personal values with agreement in the Big Five personality traits. Self-other agreement in four higher-order values (median r=.47) and in six culture-specific value factors (median r=.50) was substantial and similar to that for the Big Five personality traits (median r=.51). When corrected for attenuation due to measurement error self-other agreement was high for all three scales (median rs.>.65). The results suggest that people can assess values of others whom they know well with remarkable accuracy. Therefore, other-ratings of personal values can be used to validate and complement self-report value measures. © 2014 Elsevier Inc.","Big Five personality traits; Correction for attenuation; Personal values; Profile similarity; Self-other agreement",,,,,,,,00926566,,JRPRA,"English","J. Res. Pers.",Article,Scopus,2-s2.0-84894343975
"Golikova V., Karhunen P., Kosonen R.","Internationalization of Russian firms as institutional arbitrage: The case of Finland",2014,"Internationalization of Firms from Economies in Transition: The Effects of a Politico-Economic Paradigm Shift",,,,"195","214",,1,10.4337/9781783474707.00017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958597895&doi=10.4337%2f9781783474707.00017&partnerID=40&md5=e8738edc8c7964fefa93a11c6cf9eb09","Institute for Industrial and Market Studies, National Research University Higher School of Economics, Moscow, Russian Federation; Centre for Markets in Transition, Aalto University School of Business, Helsinki, Finland","Golikova, V., Institute for Industrial and Market Studies, National Research University Higher School of Economics, Moscow, Russian Federation; Karhunen, P., Centre for Markets in Transition, Aalto University School of Business, Helsinki, Finland; Kosonen, R., Centre for Markets in Transition, Aalto University School of Business, Helsinki, Finland",[краткое описание не найдено],,,,"Edward Elgar Publishing Ltd.",,,,,,9781783474707; 9781783474691,,"English","Int. of Firms from Econ. in Trans.: The Eff. of a Polit.-Econ. Paradig. Shift",Book Chapter,Scopus,2-s2.0-84958597895
"Skempton S.","Badiou, priest, and the hegelian infinite",2014,"International Journal of Philosophical Studies","22","3",,"385","401",,,10.1080/09672559.2014.886281,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897360563&doi=10.1080%2f09672559.2014.886281&partnerID=40&md5=a1eaac8266e22e1806841c6c20956a88","National Research University, Higher School of Economics, Moscow, Russian Federation","Skempton, S., National Research University, Higher School of Economics, Moscow, Russian Federation","Hegel’s distinction between the bad and true infinites has provoked contrasting reactions in the works of Alain Badiou and Graham Priest. Badiou claims that Hegel illegitimately attempts to impose a distinction that is only relevant to the qualitative realm onto the quantitative realm. He suggests that Cantor’s mathematical account of infinite multiplicities that are determinate and actual remains an endlessly proliferating bad infinite when placed within Hegel’s faulty schema. In contrast, Priest affirms the Hegelian true infinite, claiming that Cantor’s formal mechanisms of boundary transcendence, such as ‘diagonalization’, are implicit in Hegel’s dialectic. While arguing that a clear dividing line can be drawn here between these two interpretations of the relationship between Hegel and Cantor, this paper also mounts a defence of the Hegelian true infinite by developing Priest’s suggestion that Cantorian diagonalizing functions are prefigured by Hegel’s dialectical overcoming of limits. © 2014 Taylor & Francis, all rights reserved.","Badiou; Cantor; Graham Priest; Hegel; Infinity; Set theory",,,"Routledge",,,,,09672559,,,"English","Int. J. Philos. Stud.",Article,Scopus,2-s2.0-84897360563
"Kryukov V., Moe A.","Oil industry structure and developments in the resource base: Increasing contradictions?",2014,"Russian Energy in a Changing World: What is the Outlook for the Hydrocarbons Superpower?",,,,"35","55",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900931797&partnerID=40&md5=d666a53b1886381f149aa13fa3a1dc0c","Department of Power and Commodity Markets, Higher School of Economics, Moscow, Russian Federation; Fridtjof Nansen Institute (FNI), Oslo, Norway","Kryukov, V., Department of Power and Commodity Markets, Higher School of Economics, Moscow, Russian Federation; Moe, A., Fridtjof Nansen Institute (FNI), Oslo, Norway",[краткое описание не найдено],,,,"Ashgate Publishing Ltd",,,,,,9781409470281,,"English","Russian Energy in a Changing World: What is the Outlook for the Hydrocarbons Superpower?",Book Chapter,Scopus,2-s2.0-84900931797
"Mitrova T.","After the crisis: New market conditions?",2014,"Russian Energy in a Changing World: What is the Outlook for the Hydrocarbons Superpower?",,,,"57","74",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900950062&partnerID=40&md5=3e548012ee3c59165ba5794fd16a9ca3","Center for International Energy Markets Studies, Energy Research Institute (ERI) of the Russian Academy of Sciences, Russian Federation; Higher School of Economics, Moscow, Russian Federation; Gubkin Oil and Gas University, Moscow, Russian Federation; Global Energy department, Skolkovo Energy Center (SEneC), Skolkovo Moscow School, Russian Federation","Mitrova, T., Center for International Energy Markets Studies, Energy Research Institute (ERI) of the Russian Academy of Sciences, Russian Federation, Higher School of Economics, Moscow, Russian Federation, Gubkin Oil and Gas University, Moscow, Russian Federation, Global Energy department, Skolkovo Energy Center (SEneC), Skolkovo Moscow School, Russian Federation",[краткое описание не найдено],,,,"Ashgate Publishing Ltd",,,,,,9781409470281,,"English","Russian Energy in a Changing World: What is the Outlook for the Hydrocarbons Superpower?",Book Chapter,Scopus,2-s2.0-84900950062
"Chebotarev A.M., Teretenkov A.E.","Singular value decomposition for the Takagi factorization of symmetric matrices",2014,"Applied Mathematics and Computation","234",,,"380","384",,,10.1016/j.amc.2014.01.170,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896503382&doi=10.1016%2fj.amc.2014.01.170&partnerID=40&md5=ab1706146509ad78823d7b22628b1ace","Laboratory Mathematical Methods of Natural Sciences, Higher School of Economics, Trehsvyatitelskii per. 3, Moscow 109028, Russian Federation; Dept. of Physics, Moscow State University, Leninskie Gory, Moscow 119991, Russian Federation","Chebotarev, A.M., Laboratory Mathematical Methods of Natural Sciences, Higher School of Economics, Trehsvyatitelskii per. 3, Moscow 109028, Russian Federation; Teretenkov, A.E., Dept. of Physics, Moscow State University, Leninskie Gory, Moscow 119991, Russian Federation","We describe a simple implementation of the Takagi factorization of symmetric matrices A=UΛUT with unitary U and diagonal Λ≥0 in terms of the square root of an auxiliary unitary matrix and the singular value decomposition of A. The method is based on an algebraically exact expression. For parameterized family Aε=A+εR= UεΛεUεT, ε≥0 with distinct singular values, the unitary matrices Uε are discontinuous at the point ε=0, if the singular values of A are multiple, but the composition UεΛεUεT remains numerically stable and converges to A. The factorization is represented as a fast and compact algorithm. Its demo version for Wolfram Mathematica and interactive numerical tests are available on Internet. © 2014 Elsevier Ltd. All rights reserved.","Degenerate and multiple spectrums; Square root of unitary matrix; Symmetric SVD; Takagi factorization","Factorization; Degenerate and multiple spectrums; Numerical tests; Parameterized; Singular values; Square roots; Symmetric matrices; Takagi factorization; Unitary matrix; Singular value decomposition",,"Elsevier Inc.",,,,,00963003,,AMHCB,"English","Appl. Math. Comput.",Article,Scopus,2-s2.0-84896503382
"Mari A., Giovannetti V., Holevo A.S.","Quantum state majorization at the output of bosonic gaussian channels",2014,"Nature Communications","5",, 3826,"","",,32,10.1038/ncomms4826,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900024188&doi=10.1038%2fncomms4826&partnerID=40&md5=c7e5d716225eab97e220457061711e8b","NEST, Scuola Normale Superiore and Istituto Nanoscienze-CNR, I-56127 Pisa, Italy; Steklov Mathematical Institute, 119991 Moscow, Russian Federation; National Research University Higher School of Economics (HSE), 101000 Moscow, Russian Federation","Mari, A., NEST, Scuola Normale Superiore and Istituto Nanoscienze-CNR, I-56127 Pisa, Italy; Giovannetti, V., NEST, Scuola Normale Superiore and Istituto Nanoscienze-CNR, I-56127 Pisa, Italy; Holevo, A.S., Steklov Mathematical Institute, 119991 Moscow, Russian Federation, National Research University Higher School of Economics (HSE), 101000 Moscow, Russian Federation","Quantum communication theory explores the implications of quantum mechanics to the tasks of information transmission. Many physical channels can be formally described as quantum Gaussian operations acting on bosonic quantum states. Depending on the input state and on the quality of the channel, the output suffers certain amount of noise. For a long time it has been conjectured, but never proved, that output states of Gaussian channels corresponding to coherent input signals are the less noisy ones (in the sense of a majorization criterion). Here we prove this conjecture. Specifically we show that every output state of a phase-insensitive Gaussian channel is majorized by the output state corresponding to a coherent input. The proof is based on the optimality of coherent states for the minimization of strictly concave output functionals. Moreover we show that coherent states are the unique optimizers. © 2014 Macmillan Publishers Limited. All rights reserved.",,"Gaussian method; noise; optimization; particle motion; quantum mechanics; article; environment; noise; normal distribution; Quantum communication theory; quantum mechanics",,"Nature Publishing Group",,,,,20411723,,,"English","Nat. Commun.",Article,Scopus,2-s2.0-84900024188
"Shtyrov Y., Butorina A., Nikolaeva A., Stroganova T.","Automatic ultrarapid activation and inhibition of cortical motor systems in spoken word comprehension",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","18",,"E1918","E1923",,33,10.1073/pnas.1323158111,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899806998&doi=10.1073%2fpnas.1323158111&partnerID=40&md5=3d104bca3b13a28521f7cb34c587a652","MINDLab - Center of Functionally Integrative Neuroscience, Institute for Clinical Medicine, Aarhus University, 8000 Aarhus C, Denmark; Centre for Languages and Literature, Lund University, 221 00 Lund, Sweden; Faculty of Psychology, Higher School of Economics, Moscow 101000, Russian Federation; Moscow MEG Center, Moscow State University for Psychology and Education, Moscow 123290, Russian Federation","Shtyrov, Y., MINDLab - Center of Functionally Integrative Neuroscience, Institute for Clinical Medicine, Aarhus University, 8000 Aarhus C, Denmark, Centre for Languages and Literature, Lund University, 221 00 Lund, Sweden, Faculty of Psychology, Higher School of Economics, Moscow 101000, Russian Federation; Butorina, A., Moscow MEG Center, Moscow State University for Psychology and Education, Moscow 123290, Russian Federation; Nikolaeva, A., Moscow MEG Center, Moscow State University for Psychology and Education, Moscow 123290, Russian Federation; Stroganova, T., Moscow MEG Center, Moscow State University for Psychology and Education, Moscow 123290, Russian Federation","To address the hotly debated question of motor system involvement in language comprehension, we recorded neuromagnetic responses elicited in the human brain by unattended actionrelated spoken verbs and nouns and scrutinized their timecourse and neuroanatomical substrates. We found that already very early on, from ~80 ms after disambiguation point when the words could be identified from the available acoustic information, both verbs and nouns produced characteristic somatotopic activations in the motor strip, with words related to different body parts activating the corresponding body representations. Strikingly, along with this category-specific activation, we observed suppression of motorcortex activation by competitor words with incompatible semantics, documenting operation of the neurophysiological principles of lateral/surround inhibition in neural word processing. The extremely early onset of these activations and deactivations, their emergence in the absence of attention, and their similar presence for words of different lexical classes strongly suggest automatic involvement of motor-specific circuits in the perception of actionrelated language.","Embodied cognition; Lexical semantics; Magnetoencephalography; MEG; Mismatch negativity","adult; article; attention; automation; body regions; central sulcus; clinical article; cognition; comprehension; event related potential; evoked auditory response; female; frontal cortex; functional magnetic resonance imaging; human; male; motor cortex; motor system; neuroanatomy; neurophysiology; normal human; perception; premotor cortex; primary motor cortex; priority journal; semantics; word recognition; embodied cognition; lexical semantics; magnetoencephalography; MEG; mismatch negativity; Acoustic Stimulation; Cognition; Comprehension; Female; Humans; Magnetoencephalography; Male; Motor Cortex; Semantics; Speech Perception; Young Adult",,"National Academy of Sciences",,,,,00278424,,PNASA,"English","Proc. Natl. Acad. Sci. U. S. A.",Article,Scopus,2-s2.0-84899806998
