Авторы,Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Спонсоры,Издатель,Название конференции,Дата конференции,Место проведения конференции,Код конференции,ISSN,ISBN,CODEN,Язык оригинального документа,Сокращенное название источника,Тип документа,Источник,EID
"Sidorenko V.N., Denisenko M.B., Igonin A.I., Tikunov V.S.","Geographical analysis of the changes in the demographic situation in Russia for the last 150 years",2011,"Geography and Natural Resources","32","3",,"205","212",,,10.1134/S1875372811030012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876445359&doi=10.1134%2fS1875372811030012&partnerID=40&md5=470d13c58dde7c5ec5d049aec55a2ad8","Moscow State University, Moscow, Russian Federation; Higher School of Economics, Moscow, Russian Federation","Sidorenko, V.N., Moscow State University, Moscow, Russian Federation; Denisenko, M.B., Higher School of Economics, Moscow, Russian Federation; Igonin, A.I., Moscow State University, Moscow, Russian Federation; Tikunov, V.S., Moscow State University, Moscow, Russian Federation","We present the results derived from reconstructing, for the first time, the time series of some demographic indices of Russia's regions for the last 150 years. The problem posed for analysis was resolved through the use of extensive, officially published statistical data sets as gathered by these authors at the microlevel (uyezds, and districts) and referred within the contemporary boundaries of the subjects of the Russian Federation using economic-statistical methods and geoinformation technologies. © 2011 Pleiades Publishing, Inc.","demographic development; international comparisons; long-term time series; regional differentiation","data set; demographic trend; geographical variation; international comparison; long-term change; regional pattern; spatiotemporal analysis; time series; Russian Federation",,,,,,,18753728,,,"English","Geogr. Nat. Resour.",Article,Scopus,2-s2.0-84876445359
"Feigin B.L.","Abelianization of the BGG resolution of representations of the Virasoro algebra",2011,"Functional Analysis and its Applications","45","4",,"297","304",,1,10.1007/s10688-011-0032-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-83455211477&doi=10.1007%2fs10688-011-0032-7&partnerID=40&md5=3205665238ee59fd7829ef6241bc8c82","Landau Institute for Theoretical Physics, Higher School of Economics (National Research University), Moscow, Russian Federation","Feigin, B.L., Landau Institute for Theoretical Physics, Higher School of Economics (National Research University), Moscow, Russian Federation","We construct a resolution that permits computing the t-character of representations of the Virasoro algebra from the (2,2p + 1)-models, i. e., the characters of the associated graded spaces with respect to the Poincaré-Birkhoff-Witt filtration. © 2011 Springer-Verlag.","abelianization; t-characters of irreducible representations; Virasoro algebra",,,,,,,,00162663,,,"English","Funct. Anal. Appl.",Article,Scopus,2-s2.0-83455211477
"Ivleva L.I., Osiko V.V., Dunaeva E.E., Petrov V.S., Nikolaevsky A.V.","Crystal growth and physical properties of β-NaxV 2O5 bronze",2011,"Journal of Crystal Growth","336","1",,"89","93",,1,10.1016/j.jcrysgro.2011.09.041,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80255140543&doi=10.1016%2fj.jcrysgro.2011.09.041&partnerID=40&md5=0365c6d96edf1cfd499a840dd4d75ad6","A.M.Prokhorov General Physics Institute RAS, Vavilov street 38, 119991 Moscow, Russian Federation; Moscow State Institute of Electronics and Mathematics (Technical University), B. Trehsvyatitelsky lane 3, 109028 Moscow, Russian Federation","Ivleva, L.I., A.M.Prokhorov General Physics Institute RAS, Vavilov street 38, 119991 Moscow, Russian Federation; Osiko, V.V., A.M.Prokhorov General Physics Institute RAS, Vavilov street 38, 119991 Moscow, Russian Federation; Dunaeva, E.E., A.M.Prokhorov General Physics Institute RAS, Vavilov street 38, 119991 Moscow, Russian Federation; Petrov, V.S., Moscow State Institute of Electronics and Mathematics (Technical University), B. Trehsvyatitelsky lane 3, 109028 Moscow, Russian Federation; Nikolaevsky, A.V., Moscow State Institute of Electronics and Mathematics (Technical University), B. Trehsvyatitelsky lane 3, 109028 Moscow, Russian Federation","The features of sodium oxide vanadate bronze growth from the melt by the Czochralski method are considered. The appearance of the oxidation-induced imperfections in CZ-grown bronze crystals and possibilities to obtain perfect single crystals are discussed. The influence of the growth parameters and the temperature of vacuum annealing on surface morphology and physicochemical parameters of single crystals were estimated. Based on experimental data the temperature interval (20190 °C) was defined as the condition of reproducible characteristics of β-NaxV2O5, suitable for application of bronze crystals as active STM probe. © 2011 Elsevier B.V. All rights reserved.","A1. Crystal morphology; A1. Surface structure; A2. Czochralski method; A2. Single crystal growth; B1. Oxides vanadium bronzes","A1. Surface structure; B1. Oxides vanadium bronzes; Crystal morphologies; Czochralski methods; Experimental data; Growth from the melt; Growth parameters; Physicochemical parameters; Temperature intervals; Vacuum-annealing; Bronze; Crystal growth from melt; Crystallization; Diffractive optics; Morphology; Sodium; Surface structure; Vanadium; Single crystals",,,,,,,00220248,,JCRGA,"English","J Cryst Growth",Article,Scopus,2-s2.0-80255140543
"Frye T.M., Iwasaki I.","Government directors and business-state relations in Russia",2011,"European Journal of Political Economy","27","4",,"642","658",,11,10.1016/j.ejpoleco.2011.06.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053131894&doi=10.1016%2fj.ejpoleco.2011.06.003&partnerID=40&md5=a8edf85a63597cf894e619e25d96e6fe","Columbia University, New York, 10027, United States; Higher School of Economics, Moscow, Russian Federation; Institute of Economic Research, Hitotsubashi University, Tokyo, 186-8603, Japan","Frye, T.M., Columbia University, New York, 10027, United States, Higher School of Economics, Moscow, Russian Federation; Iwasaki, I., Institute of Economic Research, Hitotsubashi University, Tokyo, 186-8603, Japan","We propose three ideal types of business-state relations in a transition economy and explore the impact of government directors on corporate boards for firm behavior. Using a unique dataset of joint-stock companies in Russia, we find that the presence of government directors on corporate boards is more consistent with a ""collusion"" ideal type of relations between firms and the state than with a managerial discipline or rent-extraction ideal type. The state sends directors to firms that both extract resources from the state, but that also provide important benefits and services to the state. © 2011 Elsevier B.V.","Business-state relationship; Corporate governance quality; Government directorship; Politically connected firm; Russia",,,,,,,,01762680,,,"English","Eur. J. Polit. Econ.",Article,Scopus,2-s2.0-80053131894
"Chernyak E., Chugunova O., Askarova J., Nascimento S., Mirkin B.","Abstracting concepts from text documents by using an ontology",2011,"CEUR Workshop Proceedings","757",,,"21","30",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890932879&partnerID=40&md5=ba45be1a381c38d05bd01ce284f2b8ea","Division of Applied Mathematics and Informatics, National Research University Higher, School of Economics, Moscow, Russian Federation; Department of Informatics, New University of Lisbon, Caparica, Portugal; Department of Computer Science, Birkbeck University of London, London, United Kingdom","Chernyak, E., Division of Applied Mathematics and Informatics, National Research University Higher, School of Economics, Moscow, Russian Federation; Chugunova, O., Division of Applied Mathematics and Informatics, National Research University Higher, School of Economics, Moscow, Russian Federation; Askarova, J., Division of Applied Mathematics and Informatics, National Research University Higher, School of Economics, Moscow, Russian Federation; Nascimento, S., Department of Informatics, New University of Lisbon, Caparica, Portugal; Mirkin, B., Division of Applied Mathematics and Informatics, National Research University Higher, School of Economics, Moscow, Russian Federation, Department of Computer Science, Birkbeck University of London, London, United Kingdom","A method for computationally visualizing and interpreting a text or corpus of texts in a taxonomy of the field is described. The method involves such stages as matching taxonomy topics and text(s) by using annotated suffix trees (ASTs), combining multiple information such as text abstracts, key-words and taxonomy cross-references, building clusters of taxonomy topics and their profiles, and lifting the profiles to higher ranks of the taxonomy hierarchy.",,"Suffix-trees; Text document; Abstracting; Data mining; Fuzzy sets; Rough set theory; Taxonomies","ABBYY;Russian Foundation for Basic Research;Poncelet Laboratory (UMI 2615 du CNRS);State University Higher School of Economics;Yandex",,"International Workshop on Concept Discovery in Unstructured Data 2011, CDUD 2011 - In Conjunction with the 13th International Conference on Rough Sets, Fuzzy Sets, Data Mining and Granular Computing, RSFDGrC 2011","25 June 2011 through 25 June 2011","Moscow",101664,16130073,,,"English","CEUR Workshop Proc.",Conference Paper,Scopus,2-s2.0-84890932879
"Natanzon S.M., Pratusevich A.M.","Moduli spaces of Gorenstein quasi-homogeneous surface singularities",2011,"Russian Mathematical Surveys","66","5",,"1009","1011",,,10.1070/RM2011v066n05ABEH004768,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855963150&doi=10.1070%2fRM2011v066n05ABEH004768&partnerID=40&md5=be97116f436c46e20395f369999b01a7","Higher School of Economics, Institute of Physico-Chemical Biology, Moscow State University, Russian Federation; University of Liverpool, United Kingdom","Natanzon, S.M., Higher School of Economics, Institute of Physico-Chemical Biology, Moscow State University, Russian Federation; Pratusevich, A.M., University of Liverpool, United Kingdom",[краткое описание не найдено],,,,,,,,,00360279,,,"English","Russ. Math. Surv.",Article,Scopus,2-s2.0-84855963150
"Petrosyants K.O., Orekhov E.V., Popov D.A., Kharitonov I.A., Sambursky L.M., Yatmanov A.P., Voevodin A.V., Mansurov A.N.","TCAD-SPICE simulation of MOSFET switch delay time for different CMOS technologies",2011,"Proceedings of IEEE East-West Design and Test Symposium, EWDTS'2011",,, 6116411,"188","190",,,10.1109/EWDTS.2011.6116411,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856110889&doi=10.1109%2fEWDTS.2011.6116411&partnerID=40&md5=d43a74461ec845ca4cbc0811f778e428","Moscow State Institute of Electronics and Mathematics, Technical University, 3, B. Tryokhsvyatitelskiy side-street, Moscow 109028, Russian Federation; Institute for Design Problems in Microelectronics, Russian Academy of Sciences, 3, Sovetskaya Street, Moscow 124681, Russian Federation; Measuring Systems Research, Institute Named after Yu. Ye. Sedakov, GSP-486, N. Novgorod 603905, Russian Federation","Petrosyants, K.O., Moscow State Institute of Electronics and Mathematics, Technical University, 3, B. Tryokhsvyatitelskiy side-street, Moscow 109028, Russian Federation; Orekhov, E.V., Institute for Design Problems in Microelectronics, Russian Academy of Sciences, 3, Sovetskaya Street, Moscow 124681, Russian Federation; Popov, D.A., Moscow State Institute of Electronics and Mathematics, Technical University, 3, B. Tryokhsvyatitelskiy side-street, Moscow 109028, Russian Federation; Kharitonov, I.A., Moscow State Institute of Electronics and Mathematics, Technical University, 3, B. Tryokhsvyatitelskiy side-street, Moscow 109028, Russian Federation; Sambursky, L.M., Institute for Design Problems in Microelectronics, Russian Academy of Sciences, 3, Sovetskaya Street, Moscow 124681, Russian Federation; Yatmanov, A.P., Measuring Systems Research, Institute Named after Yu. Ye. Sedakov, GSP-486, N. Novgorod 603905, Russian Federation; Voevodin, A.V., Measuring Systems Research, Institute Named after Yu. Ye. Sedakov, GSP-486, N. Novgorod 603905, Russian Federation; Mansurov, A.N., Measuring Systems Research, Institute Named after Yu. Ye. Sedakov, GSP-486, N. Novgorod 603905, Russian Federation","A comparison of delay time (td) for n- and p-MOSFETs switches with silicon on sapphire (SOS), silicon on insulator (SOI) and bulk silicon structures is presented. Two step TCAD-SPICE simulation procedure was used to define td for the set of 3.00.25 um MOSFETs fabricated by the three mentioned technologies. It was shown that 0.5 um Peregrine UTSi SOS n- and p-MOSFET provided the td reduction of 220-240% in comparison with bulk silicon and 20-25% with SOI. © 2011 IEEE.",,"Bulk silicon; CMOS technology; Delay Time; MOSFET switches; MOSFETs; p-MOSFETs; pMOSFET; Silicon on sapphires; Silicon-on-insulators; Simulation procedures; CMOS integrated circuits; Sapphire; Semiconducting silicon compounds; Semiconductor switches; SPICE; Systems engineering; Time switches; MOSFET devices",,,"2011 9th East-West Design and Test Symposium, EWDTS'2011","9 September 2011 through 12 September 2011","Sevastopol",88165,,9781457719578,,"English","Proc. IEEE East-West Des. Test Symp., EWDTS",Conference Paper,Scopus,2-s2.0-84856110889
"Kaytoue M., Kuznetsov S.O., Napoli A.","Revisiting numerical pattern mining with formal concept analysis",2011,"IJCAI International Joint Conference on Artificial Intelligence",,,,"1342","1347",,34,10.5591/978-1-57735-516-8/IJCAI11-227,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864074733&doi=10.5591%2f978-1-57735-516-8%2fIJCAI11-227&partnerID=40&md5=974ae7e4c3642dd1b62a27334e4dc4f2","LORIA (CNRS - INRIA Nancy Grand Est - Nancy Université), Campus Scientifique, B.P. 70239, Vandoeuvre-lès-Nancy, France; Higher School of Economics, State University, Pokrovskiy Bd. 11, 109028 Moscow, Russian Federation","Kaytoue, M., LORIA (CNRS - INRIA Nancy Grand Est - Nancy Université), Campus Scientifique, B.P. 70239, Vandoeuvre-lès-Nancy, France; Kuznetsov, S.O., Higher School of Economics, State University, Pokrovskiy Bd. 11, 109028 Moscow, Russian Federation; Napoli, A., LORIA (CNRS - INRIA Nancy Grand Est - Nancy Université), Campus Scientifique, B.P. 70239, Vandoeuvre-lès-Nancy, France","We investigate the problem of mining numerical data with Formal Concept Analysis. The usual way is to use a scaling procedure -transforming numerical attributes into binary ones- leading either to a loss of information or of efficiency, in particular w.r.t. the volume of extracted patterns. By contrast, we propose to directly work on numerical data in a more precise and efficient way. For that, the notions of closed patterns, generators and equivalent classes are revisited in the numerical context. Moreover, two algorithms are proposed and tested in an evaluation involving real-world data, showing the quality of the present approach.",,"Closed pattern; Equivalent class; Numerical attributes; Numerical data; Pattern mining; Real-world; Scaling procedures; Artificial intelligence; Equivalence classes; Information analysis; Formal concept analysis","IJCAI;ACIA;AEPIA;Artificial Intelligence;Ministerio de Ciencia e Innovacion",,"22nd International Joint Conference on Artificial Intelligence, IJCAI 2011","16 July 2011 through 22 July 2011","Barcelona, Catalonia",97874,10450823,9781577355120,,"English","IJCAI Int. Joint Conf. Artif. Intell.",Conference Paper,Scopus,2-s2.0-84864074733
"Schein L.B., Weiss D.S., Dunlap D.H., Tyutnev A., Parris P.E.","Two-layer multiple trapping model for charge transport in molecularly doped polymers",2011,"International Conference on Digital Printing Technologies",,,,"304","306",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860721983&partnerID=40&md5=a2faeb3e7e7f060480906a8407c5fe39","San Jose, CA 95120, United States; Chemical Engineering Department, Universityof Rochester, Rochester, NY 14627, United States; Departmentof Physics and Astronomy, Universityof New Mexico, Albuquerque, NM 87131, United States; MoscowState Institute of Electronics and Mathematics, Bol. Trechsvyatitel. per., 3, Moscow, Russian Federation; Departmentof Physics, MissouriUniversity of Science and Technology, Rolla, MO 65409, United States","Schein, L.B., San Jose, CA 95120, United States; Weiss, D.S., Chemical Engineering Department, Universityof Rochester, Rochester, NY 14627, United States; Dunlap, D.H., Departmentof Physics and Astronomy, Universityof New Mexico, Albuquerque, NM 87131, United States; Tyutnev, A., MoscowState Institute of Electronics and Mathematics, Bol. Trechsvyatitel. per., 3, Moscow, Russian Federation; Parris, P.E., Departmentof Physics, MissouriUniversity of Science and Technology, Rolla, MO 65409, United States","Organic materials are being investigated for their electronic properties. Such materials are especially attractive for lightweight, flexible, and low-cost solar cells and light emitting devices, as well as transistors and electrophotographic photoreceptors. Yet, even after 40 years of work and a large database, the physics and chemistry that determines the electronic properties of organic materials are not well understood. This paper briefly summarizes data obtained from a new experimental variant of the time of flight (TOF) technique called TOF1a, which are compared to the predictions of a two-layer multiple trapping model (MTM) with an exponential distribution of traps. In TOF1a the charge generation depth is varied continuously, from surface generation to bulk generation, by varying the energy of the electron-beam excitation source. This produces systematic changes in the shape of the current transient that can be compared to the predictions of the two-layer MTM. We find that we can semi-quantitatively fit current transient data over the whole time range of the experiment, but only by using theoretical parameters that lie in a narrow range, the extent of which we quantify here. ©2011 Society for Imaging Science and Technology.",,"Charge generation; Current transients; Electron beam excitation; Exponential distributions; Large database; Light emitting devices; Low-cost solar cells; Molecularly doped polymers; Multiple trapping; Organic materials; Surface generations; Systematic changes; Time range; Time-of-flight techniques; Two layers; Forecasting; Power quality; Electronic properties","Society for Imaging Science and Technology (IS and T);Imaging Society of Japan (ISJ);Hewlett-Packard Company;Xerox Corporation",,"27th International Conference on Digital Printing Technologies, NIP27 and 7th International Conference on Digital Fabrication 2011","2 October 2011 through 6 October 2011","Minneapolis, MN",89513,,9780892082964,,"English","Int. Conf. Digit. Print. Technol.",Conference Paper,Scopus,2-s2.0-84860721983
"Davidov E., Thörner S., Schmidt P., Gosen S., Wolf C.","Level and change of group-focused enmity in Germany: Unconditional and conditional latent growth curve models with four panel waves",2011,"AStA Advances in Statistical Analysis","95","4",,"481","500",,11,10.1007/s10182-011-0174-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-81355148560&doi=10.1007%2fs10182-011-0174-1&partnerID=40&md5=92665bf09fdb7a8dab578a55ed08a812","University of Zurich, Zurich, Switzerland; University of Gießen, Gießen, Germany; State University Higher School of Economics, Moscow, Russian Federation; University of Bielefeld, Bielefeld, Germany","Davidov, E., University of Zurich, Zurich, Switzerland; Thörner, S., University of Gießen, Gießen, Germany; Schmidt, P., University of Gießen, Gießen, Germany, State University Higher School of Economics, Moscow, Russian Federation; Gosen, S., University of Gießen, Gießen, Germany; Wolf, C., University of Bielefeld, Bielefeld, Germany","In this study, we investigate and explain the level and change of six elements of group-focused enmity (GFE; see Zick et al. in J. Soc. Issues 64(2):363-383, 2008) in Germany between 2002 and 2006: racism, xenophobia, anti-Semitism, homophobia, exclusion of homeless people and support for rights of the established. For the data analysis, a representative 4-year panel study of the adult non-immigrant German population collected during the years 2002-2006 is used, and the development of each GFE component is tested by using an unconditional second-order latent growth curve model (LGM) (with full information maximum likelihood, FIML). We find that the level of 5 of the 6 components (racism, xenophobia, anti-Semitism, homophobia, exclusion of homeless people) displays an increase at the beginning of the observed period followed by a decrease. However, the sixth aspect, rights of the established, displays a continuous linear increase over time. The different developmental pattern stands in contrast to Allport's (The nature of prejudice. Perseus Books, Cambridge, 1954) hypothesis for the strong link between the components and their development over time. We try to explain this different developmental pattern by several sociodemographic characteristics. This is performed by using a conditional second-order latent growth curve model. © 2011 Springer-Verlag.","Conditional and unconditional latent growth curve modeling; Group-focused enmity; Panel data; Prejudice; Syndrome",,,,,,,,18638171,,,"English","AStA Advances Stat. Anal.",Article,Scopus,2-s2.0-81355148560
"Petrosyants K., Vologdin E., Smirnov D., Torgovnikov R., Kozhukhov M.","Si BJT and SiGe HBT performance modeling after neutron radiation exposure",2011,"Proceedings of IEEE East-West Design and Test Symposium, EWDTS'2011",,, 6116607,"267","270",,7,10.1109/EWDTS.2011.6116607,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856094241&doi=10.1109%2fEWDTS.2011.6116607&partnerID=40&md5=cd7c3fb94a9a00695c82f241163236e2","Moscow State Institute of Electronics and Mathematics, Technical University, 3, Bolshoy Trekhsvyatitelsky per., 109028, Russian Federation; Federal State Unitary Enterprise Scientific-and-production Enterprise Pulsar, 27, Okruzhnoiproyezd, Moscow, 105187, Russian Federation; Institute for Design Problems in Microelectronics of Russian, Academy of Sciences, 3, Sovetskaya St., Moscow, 124681, Russian Federation","Petrosyants, K., Moscow State Institute of Electronics and Mathematics, Technical University, 3, Bolshoy Trekhsvyatitelsky per., 109028, Russian Federation; Vologdin, E., Federal State Unitary Enterprise Scientific-and-production Enterprise Pulsar, 27, Okruzhnoiproyezd, Moscow, 105187, Russian Federation; Smirnov, D., Federal State Unitary Enterprise Scientific-and-production Enterprise Pulsar, 27, Okruzhnoiproyezd, Moscow, 105187, Russian Federation; Torgovnikov, R., Institute for Design Problems in Microelectronics of Russian, Academy of Sciences, 3, Sovetskaya St., Moscow, 124681, Russian Federation; Kozhukhov, M., Moscow State Institute of Electronics and Mathematics, Technical University, 3, Bolshoy Trekhsvyatitelsky per., 109028, Russian Federation","Theeffects of neutron irradiation on both Si bipolar junction transistor (BJT) and SiGeheterojunction transistor (HBT) are investigated using Synopsys/ISE TCAD tool. For this purpose the carrier lifetime degradation under irradiation models are included in the program. It was established that at fluence 410 13 cm 2 the Si BJT exhibited a degradation in current gain of 50% for high level and 80% for low level of E-B junction injection. For SiGe HBT at fluences as high as 10 15 cm 2 the degradation of peak current gain is less than 40%,and the devicemaintains a peak current gain of 80 - 100 after 10 15 cm -2. The cut-off and maximum oscillations frequencies are small sensitive to neutron irradiation. The simulation results are in good agreement with experimental data. © 2011 IEEE.",,"Bipolar junction transistor; Current gains; Cut-off; Experimental data; Fluences; Lifetime degradation; Low level; Neutron radiations; Peak currents; Performance Modeling; SiGe HBTs; Synopsys; Bipolar transistors; Carrier lifetime; Degradation; Neutrons; Silicon; Silicon alloys; Tunnel diodes; Neutron irradiation",,,"2011 9th East-West Design and Test Symposium, EWDTS'2011","9 September 2011 through 12 September 2011","Sevastopol",88165,,9781457719578,,"English","Proc. IEEE East-West Des. Test Symp., EWDTS",Conference Paper,Scopus,2-s2.0-84856094241
"Fantazzini D., Höök M., Angelantoni A.","Global oil risks in the early 21st century",2011,"Energy Policy","39","12",,"7865","7873",,34,10.1016/j.enpol.2011.09.035,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80855139518&doi=10.1016%2fj.enpol.2011.09.035&partnerID=40&md5=92bf1a5bd980d4e5bcc4e899d1004720","Moscow School of Economics, Moscow State University, Moscow, Russian Federation; Faculty of Economics, Higher School of Economics, Moscow, Russian Federation; The International College of Economics and Finance, Higher School of Economics, Moscow, Russian Federation; Uppsala University, Department of Physics and Astronomy, Uppsala, Sweden","Fantazzini, D., Moscow School of Economics, Moscow State University, Moscow, Russian Federation, Faculty of Economics, Higher School of Economics, Moscow, Russian Federation, The International College of Economics and Finance, Higher School of Economics, Moscow, Russian Federation; Höök, M., Uppsala University, Department of Physics and Astronomy, Uppsala, Sweden; Angelantoni, A.","The Deepwater Horizon incident demonstrated that most of the oil left is deep offshore or in other difficult to reach locations. Moreover, obtaining the oil remaining in currently producing reservoirs requires additional equipment and technology that comes at a higher price in both capital and energy. In this regard, the physical limitations on producing the ever-increasing quantities of oil are highlighted as well as the possibility of the peak of production occurring this decade. The economics of oil supply and demand are also briefly discussed showing why the available supply is basically fixed in the short to medium term. Also, an alarm bell for economic recessions is shown to be when energy takes a disproportionate amount of total consumer expenditures. In this context, risk mitigation practices in government and business are called for. As for the former, early education of the citizenry of the risk of economic contraction is a prudent policy to minimize potential future social discord. As for the latter, all business operations should be examined with the aim of building in resilience and preparing for a scenario in which capital and energy are much more expensive than in the business-as-usual one. © 2011 Elsevier Ltd.","Economic risks; Energy transition risks; Peak oil","Additional equipment; Business operation; Business-as-usual; Consumer expenditure; Deepwater; Economic Recession; Economic risks; Energy transitions; Medium term; Oil supplies; Peak Oil; Physical limitations; Risk mitigation; Petroleum reservoir evaluation; Economics; demand analysis; hydrocarbon reservoir; oil supply; risk assessment; twenty first century",,,,,,,03014215,,ENPYA,"English","Energy Policy",Article,Scopus,2-s2.0-80855139518
"Feigin B.L., Tsymbaliuk A.I.","Equivariant K-theory of Hilbert schemes via shuffle algebra",2011,"Kyoto Journal of Mathematics","51","4",,"831","854",,25,10.1215/21562261-1424875,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855781985&doi=10.1215%2f21562261-1424875&partnerID=40&md5=a8d4eb8ad11e9b535b29ab3ddf4a781f","Higher School of Economics, Moscow, Russian Federation; Independent University of Moscow, Landau Institute for Theoretical Physics, Chernogolovka, 142432, Russian Federation; Department of Mathematics, Massachusetts Institute of Technology, Cambridge, MA 02139, United States; Independent University of Moscow, Russian Federation","Feigin, B.L., Higher School of Economics, Moscow, Russian Federation, Independent University of Moscow, Landau Institute for Theoretical Physics, Chernogolovka, 142432, Russian Federation; Tsymbaliuk, A.I., Department of Mathematics, Massachusetts Institute of Technology, Cambridge, MA 02139, United States, Independent University of Moscow, Russian Federation","In this paper we construct the action of Ding-Iohara and shuffle algebras on the sum of localized equivariant K-groups of Hilbert schemes of points on ℂ 2. We show that commutative elements K i of shuffle algebra act through vertex operators over the positive part {h i} i&gt;0 of the Heisenberg algebra in these K-groups. Hence we get an action of Heisenberg algebra itself. Finally, we normalize the basis of the structure sheaves of fixed points in such a way that it corresponds to the basis of Macdonald polynomials in the Fock space ℂ[h 1, h 2,...]. © 2011 by Kyoto University.",,,,,,,,,0023608X,,,"English","Kyoto J. Math.",Article,Scopus,2-s2.0-84855781985
"Poelmans J., Elzinga P., Neznanov A., Viaene S., Kuznetsov S.O., Ignatov D., Dedene G.","Concept Relation Discovery and Innovation Enabling Technology (CORDIET)",2011,"CEUR Workshop Proceedings","757",,,"53","62",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890917510&partnerID=40&md5=ccac53312d1f38032ece9159fa0bdeca","K.U.Leuven, Faculty of Business and Economics, Naamsestraat 69, 3000 Leuven, Belgium; Vlerick Leuven Gent Management School, Vlamingenstraat 83, 3000 Leuven, Belgium; Amsterdam-Amstelland Police, James Wattstraat 84, 1000 CG Amsterdam, Netherlands; Universiteit Van Amsterdam Business School, Roetersstraat 11, 1018 WB Amsterdam, Netherlands; National Research University Higher School of Economics (HSE), Pokrovskiy boulvard 11, 101000 Moscow, Russian Federation","Poelmans, J., K.U.Leuven, Faculty of Business and Economics, Naamsestraat 69, 3000 Leuven, Belgium; Elzinga, P., Amsterdam-Amstelland Police, James Wattstraat 84, 1000 CG Amsterdam, Netherlands; Neznanov, A., National Research University Higher School of Economics (HSE), Pokrovskiy boulvard 11, 101000 Moscow, Russian Federation; Viaene, S., K.U.Leuven, Faculty of Business and Economics, Naamsestraat 69, 3000 Leuven, Belgium, Vlerick Leuven Gent Management School, Vlamingenstraat 83, 3000 Leuven, Belgium; Kuznetsov, S.O., National Research University Higher School of Economics (HSE), Pokrovskiy boulvard 11, 101000 Moscow, Russian Federation; Ignatov, D., National Research University Higher School of Economics (HSE), Pokrovskiy boulvard 11, 101000 Moscow, Russian Federation; Dedene, G., K.U.Leuven, Faculty of Business and Economics, Naamsestraat 69, 3000 Leuven, Belgium, Universiteit Van Amsterdam Business School, Roetersstraat 11, 1018 WB Amsterdam, Netherlands","Concept Relation Discovery and Innovation Enabling Technology (CORDIET), is a toolbox for gaining new knowledge from unstructured text data. At the core of CORDIET is the C-K theory which captures the essential elements of innovation. The tool uses Formal Concept Analysis (FCA), Emergent Self Organizing Maps (ESOM) and Hidden Markov Models (HMM) as main artifacts in the analysis process. The user can define temporal, text mining and compound attributes. The text mining attributes are used to analyze the unstructured text in documents, the temporal attributes use these document's timestamps for analysis. The compound attributes are XML rules based on text mining and temporal attributes. The user can cluster objects with object-cluster rules and can chop the data in pieces with segmentation rules. The artifacts are optimized for efficient data analysis; object labels in the FCA lattice and ESOM map contain an URL on which the user can click to open the selected document.",,"Analysis process; Emergent self organizing maps; Enabling technologies; Essential elements; Formal concept analyses (FCA); Temporal attributes; Time stamps; Unstructured texts; Engineering research; Fuzzy sets; Hidden Markov models; Rough set theory; Self organizing maps; Data mining","ABBYY;Russian Foundation for Basic Research;Poncelet Laboratory (UMI 2615 du CNRS);State University Higher School of Economics;Yandex",,"International Workshop on Concept Discovery in Unstructured Data 2011, CDUD 2011 - In Conjunction with the 13th International Conference on Rough Sets, Fuzzy Sets, Data Mining and Granular Computing, RSFDGrC 2011","25 June 2011 through 25 June 2011","Moscow",101664,16130073,,,"English","CEUR Workshop Proc.",Conference Paper,Scopus,2-s2.0-84890917510
